trace_file,trace_idx,ATC_0,ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC,Track2,C7,IO,apdu,EncryptedPIN,AIP,IAD
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,13,38,62,99,178,0,0,0,0,,5413330337554966D25122012916230185,0088000004263E63B200  7781949F4B8190472F56FD176D7DA9215C1F20676677A07F94E12EB0633710C08945096E7ECA41C5810BDB4035BBB338ECA1324C3F18C8A36463068E97BAF916C236C51F79C8D44AFB42412A61BC2C354BF02B4A5B31038073A176E2958A9B3ED0EF950F7E86D525154DB62D89469C20F41E9F5390110A82164CF82F4CC53ADDF79A142C868597DFB01B734B3E698409728C1AB5FDFA93,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,14,110,233,219,46,0,0,0,0,,5413330337554966D25122012916230185,00880000046EE9DB2E00  7781949F4B81909EF5354A2A6DA8BA93C6EC0E19CB955DA2B5BC3F27F79157EAF27D444AD6036751F9E7616D0EC628E9D491AF6D5EF5913E7AD1F25E59E523BAF2201396DF51B310A2A0F841228EB8FA9885C46CDACC7850862A6D9696CAFBAE90C039C0AA065B3DCDF8EF88C6CE144A27AFBFE0E8DCC86099DB148AA1C1CA7AA7020BD538D4EBBA1D8B5BE25F2B99BD1BD91E85BBD34F,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,15,255,94,87,119,0,0,0,0,,5413330337554966D25122012916230185,0088000004FF5E577700  7781949F4B8190751B2FFE3A79ADA24D1BA436662E98BB700250FF9814A9C2C02330EBD48A48A6B019B017DC0218E53F93DED97708303DABF383D13D01C90E8740C91BFDB8F9975D6CD6204A4CD6D60A9C37AE16C48E047A307885C1BEC880E2A88AC68E5F139BCC224E6B24C2899361645D30F14E9E5CF8240FFBAF99311E987F78F30C488A283E867A46EFD3D1BB23EEC59AD5C00C1E,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,16,136,29,111,233,0,0,0,0,,5413330337554966D25122012916230185,0088000004881D6FE900  7781949F4B81904EDCA363C4043630A253C1FD64D172A7F79B44971A61AE767922FF044EDE005B669E91B2AC586A9D4C56F9B350366F4B2FBB9732DB599D7AF9684FEC13344DDCE79A79DF0B84893D33BCE55D50A224C4CA2CE656DF06FDC859AEBBA8FFA36930D1CEB3BA71D878DCBF8EE6D7B7B90EAC0BFAA29CB318E90400B751C2EF7967A9BFF0E310012E383A312ABD0C99FF4657,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,17,139,33,48,18,0,0,0,0,,5413330337554966D25122012916230185,00880000048B21301200  7781949F4B8190A8448772E058135E27045FC12C8C925FD2138894884B7445CBA17A2EB4014F11FA635574C1232EA3BF7E44EC6B721ADDD60C9AD1329A3A0E59AB178001FB16711F7BF108101687130C5AFD1AFAC2B44F52FF229D70B688E3B2DFBD0723180E689F9754A08A64BF8F9500654FE9CD6F942E3E7F1F6E9CF6AD25C43923BA25AD2C56863970C3A051FD08A434A7F5728B72,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,18,230,72,214,115,0,0,0,0,,5413330337554966D25122012916230185,0088000004E648D67300  7781949F4B81901C116E82524FFC0A6248960E680EB1ADC9CB5E30811B2578249B74B9AF86FACA01354C468B5CD6E8E8211DE1B2F8B323F8016BBE356108F17D3CC85984467BD7C44FC49895B27C2DAD9374BE95D2769DDCCE1B6D3574440480D6D3E8BE08DF1529806E30A682CF98DFF145A09774D6C338BC70D9345458F18F637663B21F420C67F0A3557C67AF6B9936ABDC1C0EFBE5,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,19,162,129,147,207,0,0,0,0,,5413330337554966D25122012916230185,0088000004A28193CF00  7781949F4B8190843608B057D452358E3DDACD500F9290185928013314BD4CA3133979EF4028CD13AF95FAE77D260BF8F08D54A8A082113F7C15E375A6B26FD7F99F7A9838C3106A5DC49700EE64853A3B0C60C246A9E0F911A8F909CD00C556F9E7FF602A572C28A1D91C7984AE30AC00F320F737A60EDD13F26D11B9E153284D8B6DAAE1E14E67A81D2E23A1F2AA3A5A64D56FF41784,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,20,44,63,170,65,0,0,0,0,,5413330337554966D25122012916230185,00880000042C3FAA4100  7781949F4B8190377209CB101EAFBC70DD6EA697714EEB0DDB35F59B881CE47D4A3C36642823C3D726ECE5FD8C5B405FD1FD2DDCB37BCDB01334C7C9C34A49A38DA929D1AA0561EEC610854C07BFD75575B8EB11766F5E6E6FE95A52D01D1A4825B1B51DB5A386D35E33EA497CD8F9B870EBE38E902587F73C42AE2A92C5EFFB130B858849CA510C2E798F130BECB8499A2BB49D54595F,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,21,188,181,39,138,0,0,0,0,,5413330337554966D25122012916230185,0088000004BCB5278A00  7781949F4B81904F128AF998DDEA0A3FABFB590DB3977A15BE96FA884E53A56A134BB2DB4696F3273EADED75B19331CA7BE006E0DDA3B26B9AC67524611E366C5F29BCAC886BD40EA9246A18A9B68409E51613B68587D106CFEE75F7E5375866DFE883A2B5EB5343B7363379F6C14AE466250A9C15CB919D62187B6E075ECF93DD081877AC6F20036E658175B38EE2F189712C99B04433,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,22,27,224,143,20,0,0,0,0,,5413330337554966D25122012916230185,00880000041BE08F1400  7781949F4B8190A12976FCA1FEEC450526DA2AF3589A130F45342C255792A8AABA40D1C95734B8043D6C9E265D7AC0B7F28CD402D5F8D940BC3995305338AA460DBD490EB979B6CEE82A863EA5F06EBD100E961954BD4429E012B04141CCDCDB9A6CBF3DB79CCD3BFC77F3B9750FA06CD54AEDC5CEC5476DC7399E0A1B4B32DBD45385D902E9E7C75D422316CF782922047E76958A0FD5,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,23,164,159,166,134,0,0,0,0,,5413330337554966D25122012916230185,0088000004A49FA68600  7781949F4B81900B3535A84F07814A26B2BE351F6BEA91B247B11FAF4514A7177A07C5403FC5C58342E3A72751CEE9CC80F1B7CCB9F56A67978D57E2C12E2672012C4BB6499DC8DEE5BB5575BAA76A147A19347D02BDDB442730C3DF54B264F7301EDEABF7EA6221DBD1BA3AED071D0C110DB9BB557F6490DE65172F53652F8993F98554CBECED47BFC52D6E18DA4F0280FFDAB8E46BE9,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,24,96,216,98,227,0,0,0,0,,5413330337554966D25122012916230185,008800000460D862E300  7781949F4B8190307094D3B5A9546447B64A872703F484D5E89A72AB2CB650E33FD9614B0205C9B388E64C83B0434A5D891A9951317BA5639810F8EEB0A2693A9E25F05CE5AB1BFA0B35A4F60B95FA52C4F14A727927437E5B8637E1484D4B3E410ACEF2B05714EAA4B5A219600DB5B205D9325ACE1CE1FD89F5D8FFE16422B09B14380771201630601DE99ABD978A4367445F379B69FD,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,25,42,137,140,251,0,0,0,0,,5413330337554966D25122012916230185,00880000042A898CFB00  7781949F4B819027BCEA3C1EC279CA4AB934CB4300021BA1B10AF9193E4989B8869A368FBE046830DAA92639E718B55A5C5A847BED5C43C564DF382DE38B25EA696969AF0ECFE4F9F3CB842CA70DA5F03A676AC47A8BA2F5EDA0BDD1E6FA5EE43A4A87DD263C9F85A32D30214A4D6904077C3FE5102B6FBFD063AADDDED3330DF88E2C2C470165247B998193BEB5F1FC9B1A9E3E2F51B2,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,26,141,104,152,50,0,0,0,0,,5413330337554966D25122012916230185,00880000048D68983200  7781949F4B819017AB52EFB04EA97A95462E4474EC45858BAE512C67FDD1FDAC8D8678C80A015D85AC522E26B706F59E1F28A3CD0D3CA5D9DB00D366975E0B5D466B14C1D64023E8954425A75BEBE47B9D17666FCD05CF92275BE2E91CDF572F808F09694302F69D94CBB51729A37158778D33510D3735B678F333BABE5EE41E4D6F82B63EF7638A8953CAC5E63CD3087D037C0380EE37,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,27,73,161,84,142,0,0,0,0,,5413330337554966D25122012916230185,008800000449A1548E00  7781949F4B8190BAE910BE1BF0F456F910E71D85C7CC152E05AF40B7F32B6F21DCA78851DAE99C543CBA17B58FA0CAEED39C06D7288135FA0177029471921A876C2F93F5EC7E456A1DD4328EB00BC080E1833A150901EF2A321E0F8E982AE60A2B619D71B3EF93423DDE417B88842062F951BD22F2DA617A014A41C4573EF667FF40D22001C500CAB4C016E80F29914E72886585E18CD8,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,28,232,143,62,147,0,0,0,0,,5413330337554966D25122012916230185,0088000004E88F3E9300  7781949F4B8190969545D0EE04C66735E671035828C2F3F9C997417BD7EB6144B62C1BCC5BE202E8192E56E8A4F7A8E7AB18ACE3B5B289A4D591CB4803840DC037615365685EC20D7EDEADD21850C1E49CF6D02808F0A0C461B59D5446279B2E35C8F7476DC4A9006955740E6606F8894D669DF3457C6E8F464C2218188A4F6BBB47009ABFA6430FAF43A9E57D3D3F6DC5AE3B87A8D052,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,29,164,200,251,239,0,0,0,0,,5413330337554966D25122012916230185,0088000004A4C8FBEF00  7781949F4B8190B70FDBED1F6E5734742916EC902065E3D0CC38E0E41745C4EB55277B152F6B9FFAB9B39F1EA733FE0B9F6BA7CA1CA3BC5D58FB0E4F8F26201B6E3CAB6551CAF5140B81C8020F9099A3EFB7FB2538311E931B06DC56501A60E5E9D21B31F4B6C388EAE05EB74589D9BEDF4AFB5E1155D7DCE5011E68CEAFC34FD6A4A787946745E06C546F7F964C9891F0A9A34614DCEE,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,30,52,62,120,56,0,0,0,0,,5413330337554966D25122012916230185,0088000004343E783800  7781949F4B81906E752B9AD58C018C78AAE48CDC5DD5D30C2D3EEF48A57EC9595341E9A133FB0AE6486C63FE4F1A9A0CD228B7D65293FDC9118E6E83588F59DE7A03713D2E1F0817E958D623322085C3AAD921C0E108A7429E0A757F653A8D0A630F481061C34A1B2409FDB4A877F459E9765B99CFBFD6A590446D9DF022DCA308EE08A92ABEFD139E6F218E4EBAFAB46B37DF410C09AA,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,31,189,252,143,171,0,0,0,0,,5413330337554966D25122012916230185,0088000004BDFC8FAB00  7781949F4B81905BB1980904F061908EE02F86D4BDF1C876241B84E7FFA63FC3F8D7C9853DD44F414464B101DE2E31655376A781EC74923C19AC1CF5F93294882AFC49105F561E3A27B0736B1193E2CF9828EF8676E95B52072CB74906015478F7DBB415F4905C52B9CD205C2F75A267E79A5EFA3B6D3E4BE3CE32574ABC27130412EBC929BF0226B0E391CCF1767193AEC136D5939342,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,32,121,53,75,7,0,0,0,0,,5413330337554966D25122012916230185,008800000479354B0700  7781949F4B8190A0BFA5B4395318D76ED7E8629F02DC1B126F5BB004AC6909A587B86E182E518601B2146B99D353D54269810E9F820AF28E6711162B5537735578BBA2B422172172CF939FCEAFC4258B38C79803B8930468ED6C1625FAC14BFF3697ABD67212F8953D7C1B51CBCB1F51CF5EB22006077124959CA2877970B8E90D7144C95C3E27A466E4896BFC4C77D04379D918602AB6,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,33,24,35,53,12,0,0,0,0,,5413330337554966D25122012916230185,00880000041823350C00  7781949F4B81902550BF668CC33DCB01B929F155A152A09DA8582F188E8F281733F7A02BE8E4961D6FF1C9F04A265D9B1A985359337952A485276DD0059F2AB2D138DFC567E3AB911AF87D8267D37B151DF1131B69B36466D872A164BEFAFD51CB7E237BCD0E837985D650004E3970D2BF62647B72B734AC2082BD75B89F713E2CE77E83D72437060311A1BB8B30D3EC4F0E4133F88225,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,34,212,92,242,104,0,0,0,0,,5413330337554966D25122012916230185,0088000004D45CF26800  7781949F4B8190542E73CF71B0B3BD9C8AD35225ED7086CAF5B525DC9B983BC63A91594995A0A3EBC82E98F0936790153F19B69E583111ABB4CC020587F3768CAB18D8384CA66B1DC5B60BDF3CB22E6B59D75C71607F86BB83EDE33581F84EE1EE0BD3E12C4330C3C869C769F9218C512E738AB4F549C31949D3AD051D1432B9207EEF026DF970CB03DA23C32DEEE39D538F344EB175F9,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,35,239,111,249,211,0,0,0,0,,5413330337554966D25122012916230185,0088000004EF6FF9D300  7781949F4B8190A8941E353378C10A4C1C83D637B506860206A28D7E1C9D2DBFDC677E7878E389D84083A775E460039C913C9B0B2CB88BB66B125840CDD11C43419A8464B160CCCFA9C01E51657A1BBB2139F3471A1F9DB4B73E86465DD2E98FFAAEE9040B1769F15EC202783CDEE2E2AEA5EE77FAF0F73D1711006FEDE8278A17EEC1FD2E6D2B0514DC53E335FAB513045E21C62322CB,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,36,116,122,108,151,0,0,0,0,,5413330337554966D25122012916230185,0088000004747A6C9700  7781949F4B81901AC2CAF2228AE87FBF501B5087CFAA78A9B7AD43280718A7B4675E3306CA51691FF04D9EE74C719441F3069059C5F7FA8E08A306893ED532F4E146A483241256272AC94B3B069B9F3DD8C65E5FD984C91E6BBF957DD1D1E55F2B88BDC7AC129DD9B4B175D884A56648ED9C3DAEFAF3C81F65B25D6B2272274C917E7EC6EA2B6CBFE3931022CBF1523CF000D14C4DE843,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,37,5,240,233,224,0,0,0,0,,5413330337554966D25122012916230185,008800000405F0E9E000  7781949F4B81909836C7A1AC1D824FDB401A3848AD4B2F30EA9EDE0D5821969836277DF43E8AB3C2E89C205E91E62D4AE2F9A6E8D3E1F2FCDD375151FB2E87E50D63C7F5CB134E2A2EA2313C1CCD1DDC3221D42E22432E03D1CBA9A5362693D866744767BA59620FAD53991307B364AB100D124029E870C54DD5219B2E801441D13280ECD14D71EEBBC964D931F46E12789F16FFEE5F53,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,38,193,41,165,60,0,0,0,0,,5413330337554966D25122012916230185,0088000004C129A53C00  7781949F4B819073EAEA8AFC0F55DB86AFDB47B7251166E8E857FF00218A5E2E7F5F2BC72AD30CACEEC7055F2C181B6D26F6D0697D3119E13D8841E3E3663DC2756473A4DE28D937C05CB730C3BBC221D6FE96B1D000A2F48B6854F29D2B2454E04B897AE6C2B4B19E8403D3854373E5324EDB4CA7A53D40EA1863FB27F52E0BF4A66260935246E1B84F435616E6D5504B8BF22984ABE9,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,39,165,15,99,16,0,0,0,0,,5413330337554966D25122012916230185,0088000004A50F631000  7781949F4B81902F2B7C442440A5DB8C2022F39A3506CA00AE54DDF9223E0B7660E941E1C3160CF58A43EB5B2DE5517B53FBD21773806E805C00DA4DA1323D9E7580958D9779660F0649C245453FC20A4C35BFEC6006E491923BAE098AED716E73F3A7BB359403F4D8B0C4858A5DD5D4516233BA9CF0AFCC26CDE823FAE0C2AE0DC5A9D87755FF47D94755F23925B4AA7402B561E517C1,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,40,53,132,224,89,0,0,0,0,,5413330337554966D25122012916230185,00880000043584E05900  7781949F4B8190862400705100EE18C79D9AE826591F1AC3561DCF8329AF515D98D0C72B212D37B94996B57A00776F9AD4B46F9B131F9739362182F8E975F70088585B4E1F382EEC350FF9CD3CA99FF04B0AD8267DD990ADAFA14664E053249563658A6B6F5B884747B81B5F735580EE0067BDE73BA350B9A36845698E2601287389706CC8A2643DC752645FC37F7DBFED09CE50BDFCFF,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,41,57,137,161,129,0,0,0,0,,5413330337554966D25122012916230185,00880000043989A18100  7781949F4B8190AC6D38EDD01B83DC8D1329B8D1356268B01414C411DE0FD4844F3CB78C3922D27572FCEF3B444F25F6FE9BA4BC7A410075E8BD6E5638196BE898AA0ADCEC355A33D62DCD0AAAB084A38762E87753488D354F9DC052757B2A3E22F70FB86CDA3DE9832FE728983B5B6F2424D2D6116AD0249378463BF26CCF4047C41BC2847014E4AEB39B6E7367C22A66BDAAC79037A3,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,42,194,71,184,244,0,0,0,0,,5413330337554966D25122012916230185,0088000004C247B8F400  7781949F4B81905C0D6F7BFAD0D107BB0D27FE25B8F5DDB2245B6F993642694BCFACE6A8EAC8A6C4F5385A7A6CF878B493DCEC167080CF6A878A850AC52FE88BD9F16FBDCCCBB2A25C7110CE1710F4317A1464DDA956F5DE6FC0264EBA17DC421600CCC6496DD45942B4C39865D64B5EB89E9ED6142CE2C6219A2168403F82DFF2AF30C17A43727A1E04FE84D669D9B9B2C014A28B6860,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,43,144,253,163,52,0,0,0,0,,5413330337554966D25122012916230185,008800000490FDA33400  7781949F4B819031FFBC22A808E3FD24A45DB919F0A01EAE118E0102345875C5E4022C5405E4F58C798E68B0FB9A4E345E0B6846C61AF208519CDC3DC27658CD8029BB0E2FFB935FB948EDD35B63476224AEDC867423CB3FD77ACAC386B67CD0DF537B7015E2EC41FBFB9FE9C51C79CCE96E434BFA1D049928A51D5ECBE2D1BB7ED8D102AF49C0036EFCEB48A47B2670D0F111810606E0,,,,,
